CMDLINE ns-train l3gs
MEM 0.007812 1704770318.2090
MEM 17.687500 1704770318.3103
MEM 114.332031 1704770318.4106
MEM 143.882812 1704770318.5111
MEM 164.664062 1704770318.6115
MEM 182.894531 1704770318.7120
MEM 227.703125 1704770318.8123
MEM 241.820312 1704770318.9126
MEM 249.609375 1704770319.0129
MEM 260.226562 1704770319.1131
MEM 269.964844 1704770319.2134
MEM 280.164062 1704770319.3138
MEM 288.156250 1704770319.4141
MEM 296.894531 1704770319.5144
MEM 302.089844 1704770319.6146
MEM 310.750000 1704770319.7149
MEM 321.953125 1704770319.8152
MEM 324.789062 1704770319.9155
MEM 325.046875 1704770320.0158
MEM 325.046875 1704770320.1160
MEM 325.304688 1704770320.2163
MEM 325.562500 1704770320.3165
MEM 325.562500 1704770320.4167
MEM 325.562500 1704770320.5169
MEM 326.738281 1704770320.6172
MEM 336.968750 1704770320.7176
MEM 347.613281 1704770320.8179
MEM 348.902344 1704770320.9183
MEM 358.988281 1704770321.0187
MEM 367.394531 1704770321.1190
MEM 376.078125 1704770321.2193
MEM 377.109375 1704770321.3196
MEM 378.140625 1704770321.4199
MEM 382.359375 1704770321.5203
MEM 392.597656 1704770321.6206
MEM 402.519531 1704770321.7211
MEM 406.898438 1704770321.8215
MEM 409.218750 1704770321.9218
MEM 422.375000 1704770322.0223
MEM 441.441406 1704770322.1227
MEM 449.441406 1704770322.2230
MEM 456.246094 1704770322.3233
MEM 488.250000 1704770322.4236
MEM 490.582031 1704770322.5240
MEM 491.531250 1704770322.6244
MEM 491.789062 1704770322.7247
MEM 493.187500 1704770322.8249
MEM 493.773438 1704770322.9254
MEM 498.195312 1704770323.0258
MEM 506.488281 1704770323.1261
MEM 507.003906 1704770323.2265
MEM 514.132812 1704770323.3271
MEM 526.593750 1704770323.4274
MEM 540.785156 1704770323.5278
MEM 550.621094 1704770323.6281
MEM 553.714844 1704770323.7284
MEM 556.496094 1704770323.8287
MEM 563.445312 1704770323.9290
MEM 565.121094 1704770324.0294
MEM 570.886719 1704770324.1297
MEM 587.496094 1704770324.2300
MEM 587.496094 1704770324.3303
MEM 592.246094 1704770324.4308
MEM 592.246094 1704770324.5312
MEM 593.054688 1704770324.6315
MEM 600.851562 1704770324.7318
MEM 622.070312 1704770324.8322
MEM 634.148438 1704770324.9325
MEM 657.789062 1704770325.0329
MEM 661.277344 1704770325.1332
MEM 661.812500 1704770325.2334
MEM 663.558594 1704770325.3337
MEM 665.316406 1704770325.4342
MEM 665.828125 1704770325.5344
MEM 668.914062 1704770325.6346
MEM 669.164062 1704770325.7349
MEM 670.453125 1704770325.8351
MEM 671.226562 1704770325.9354
MEM 671.226562 1704770326.0358
MEM 671.929688 1704770326.1361
MEM 673.476562 1704770326.2362
MEM 674.765625 1704770326.3366
MEM 676.054688 1704770326.4368
MEM 677.332031 1704770326.5370
MEM 677.843750 1704770326.6372
MEM 678.359375 1704770326.7375
MEM 678.875000 1704770326.8378
MEM 679.390625 1704770326.9380
MEM 679.906250 1704770327.0384
MEM 680.679688 1704770327.1386
MEM 681.195312 1704770327.2388
MEM 681.968750 1704770327.3390
MEM 682.484375 1704770327.4393
MEM 683.257812 1704770327.5395
MEM 684.289062 1704770327.6399
MEM 685.062500 1704770327.7403
MEM 685.835938 1704770327.8406
MEM 686.351562 1704770327.9408
MEM 687.125000 1704770328.0412
MEM 687.898438 1704770328.1415
MEM 688.671875 1704770328.2418
MEM 689.445312 1704770328.3422
MEM 689.960938 1704770328.4427
MEM 690.734375 1704770328.5431
MEM 691.507812 1704770328.6433
MEM 692.281250 1704770328.7436
MEM 692.796875 1704770328.8440
MEM 693.570312 1704770328.9444
MEM 694.343750 1704770329.0447
